"quantity","rate","type","meter-type","meter-label","datetime"
"315.45","180","gas","Slimme meter","Kerk Liander (G)","18-01-2019"
"319.74","180","gas","Slimme meter","Kerk Liander (G)","19-01-2019"
"331.83","180","gas","Slimme meter","Kerk Liander (G)","20-01-2019"
"377.71","180","gas","Slimme meter","Kerk Liander (G)","21-01-2019"
"385.56","180","gas","Slimme meter","Kerk Liander (G)","22-01-2019"
"410.68","180","gas","Slimme meter","Kerk Liander (G)","23-01-2019"
"433.39","180","gas","Slimme meter","Kerk Liander (G)","24-01-2019"
"440.95","180","gas","Slimme meter","Kerk Liander (G)","25-01-2019"
"452.8","180","gas","Slimme meter","Kerk Liander (G)","26-01-2019"
"458.04","180","gas","Slimme meter","Kerk Liander (G)","27-01-2019"
"494.28","180","gas","Slimme meter","Kerk Liander (G)","28-01-2019"
"497.01","180","gas","Slimme meter","Kerk Liander (G)","29-01-2019"
"512.62","180","gas","Slimme meter","Kerk Liander (G)","30-01-2019"
"523.68","180","gas","Slimme meter","Kerk Liander (G)","31-01-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","01-02-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","01-02-2019"
"556.01","181","electric","Slimme meter","Kerk Liander (E)","01-02-2019"
"350.354","182","electric","Slimme meter","Kerk Liander (E)","01-02-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","02-02-2019"
"371.001","182","electric","Slimme meter","Kerk Liander (E)","02-02-2019"
"569.944","181","electric","Slimme meter","Kerk Liander (E)","02-02-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","02-02-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","03-02-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","03-02-2019"
"371.001","182","electric","Slimme meter","Kerk Liander (E)","03-02-2019"
"597.363","181","electric","Slimme meter","Kerk Liander (E)","03-02-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","04-02-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","04-02-2019"
"371.001","182","electric","Slimme meter","Kerk Liander (E)","04-02-2019"
"633.634","181","electric","Slimme meter","Kerk Liander (E)","04-02-2019"
"645.856","181","electric","Slimme meter","Kerk Liander (E)","05-02-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","05-02-2019"
"387.754","182","electric","Slimme meter","Kerk Liander (E)","05-02-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","05-02-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","06-02-2019"
"402.212","182","electric","Slimme meter","Kerk Liander (E)","06-02-2019"
"656.422","181","electric","Slimme meter","Kerk Liander (E)","06-02-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","06-02-2019"
"665.835","181","electric","Slimme meter","Kerk Liander (E)","07-02-2019"
"415.085","182","electric","Slimme meter","Kerk Liander (E)","07-02-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","07-02-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","07-02-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","08-02-2019"
"426.299","182","electric","Slimme meter","Kerk Liander (E)","08-02-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","08-02-2019"
"673.119","181","electric","Slimme meter","Kerk Liander (E)","08-02-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","09-02-2019"
"436.232","182","electric","Slimme meter","Kerk Liander (E)","09-02-2019"
"681.338","181","electric","Slimme meter","Kerk Liander (E)","09-02-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","09-02-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","10-02-2019"
"436.232","182","electric","Slimme meter","Kerk Liander (E)","10-02-2019"
"696.919","181","electric","Slimme meter","Kerk Liander (E)","10-02-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","10-02-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","11-02-2019"
"436.232","182","electric","Slimme meter","Kerk Liander (E)","11-02-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","11-02-2019"
"716.851","181","electric","Slimme meter","Kerk Liander (E)","11-02-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","12-02-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","12-02-2019"
"448.254","182","electric","Slimme meter","Kerk Liander (E)","12-02-2019"
"726.726","181","electric","Slimme meter","Kerk Liander (E)","12-02-2019"
"737.368","181","electric","Slimme meter","Kerk Liander (E)","13-02-2019"
"457.953","182","electric","Slimme meter","Kerk Liander (E)","13-02-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","13-02-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","13-02-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","14-02-2019"
"469.041","182","electric","Slimme meter","Kerk Liander (E)","14-02-2019"
"745.8","181","electric","Slimme meter","Kerk Liander (E)","14-02-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","14-02-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","15-02-2019"
"755.638","181","electric","Slimme meter","Kerk Liander (E)","15-02-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","15-02-2019"
"477.626","182","electric","Slimme meter","Kerk Liander (E)","15-02-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","16-02-2019"
"765.433","181","electric","Slimme meter","Kerk Liander (E)","16-02-2019"
"485.147","182","electric","Slimme meter","Kerk Liander (E)","16-02-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","16-02-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","17-02-2019"
"485.147","182","electric","Slimme meter","Kerk Liander (E)","17-02-2019"
"780.762","181","electric","Slimme meter","Kerk Liander (E)","17-02-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","17-02-2019"
"801.291","181","electric","Slimme meter","Kerk Liander (E)","18-02-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","18-02-2019"
"485.147","182","electric","Slimme meter","Kerk Liander (E)","18-02-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","18-02-2019"
"491.835","182","electric","Slimme meter","Kerk Liander (E)","19-02-2019"
"808.869","181","electric","Slimme meter","Kerk Liander (E)","19-02-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","19-02-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","19-02-2019"
"816.412","181","electric","Slimme meter","Kerk Liander (E)","20-02-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","20-02-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","20-02-2019"
"500.705","182","electric","Slimme meter","Kerk Liander (E)","20-02-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","21-02-2019"
"824.838","181","electric","Slimme meter","Kerk Liander (E)","21-02-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","21-02-2019"
"508.515","182","electric","Slimme meter","Kerk Liander (E)","21-02-2019"
"519.291","182","electric","Slimme meter","Kerk Liander (E)","22-02-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","22-02-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","22-02-2019"
"832.614","181","electric","Slimme meter","Kerk Liander (E)","22-02-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","23-02-2019"
"525.804","182","electric","Slimme meter","Kerk Liander (E)","23-02-2019"
"838.449","181","electric","Slimme meter","Kerk Liander (E)","23-02-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","23-02-2019"
"525.804","182","electric","Slimme meter","Kerk Liander (E)","24-02-2019"
"853.209","181","electric","Slimme meter","Kerk Liander (E)","24-02-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","24-02-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","24-02-2019"
"874.378","181","electric","Slimme meter","Kerk Liander (E)","25-02-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","25-02-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","25-02-2019"
"525.804","182","electric","Slimme meter","Kerk Liander (E)","25-02-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","26-02-2019"
"882.476","181","electric","Slimme meter","Kerk Liander (E)","26-02-2019"
"532.306","182","electric","Slimme meter","Kerk Liander (E)","26-02-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","26-02-2019"
"539.037","182","electric","Slimme meter","Kerk Liander (E)","27-02-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","27-02-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","27-02-2019"
"890.272","181","electric","Slimme meter","Kerk Liander (E)","27-02-2019"
"544.612","182","electric","Slimme meter","Kerk Liander (E)","28-02-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","28-02-2019"
"897.703","181","electric","Slimme meter","Kerk Liander (E)","28-02-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","28-02-2019"
"531.56","180","gas","Slimme meter","Kerk Liander (G)","01-02-2019"
"542.97","180","gas","Slimme meter","Kerk Liander (G)","02-02-2019"
"556","180","gas","Slimme meter","Kerk Liander (G)","03-02-2019"
"596.61","180","gas","Slimme meter","Kerk Liander (G)","04-02-2019"
"602.02","180","gas","Slimme meter","Kerk Liander (G)","05-02-2019"
"617.8","180","gas","Slimme meter","Kerk Liander (G)","06-02-2019"
"626.99","180","gas","Slimme meter","Kerk Liander (G)","07-02-2019"
"628.92","180","gas","Slimme meter","Kerk Liander (G)","08-02-2019"
"632.31","180","gas","Slimme meter","Kerk Liander (G)","09-02-2019"
"635.08","180","gas","Slimme meter","Kerk Liander (G)","10-02-2019"
"667.4","180","gas","Slimme meter","Kerk Liander (G)","11-02-2019"
"668.77","180","gas","Slimme meter","Kerk Liander (G)","12-02-2019"
"672.77","180","gas","Slimme meter","Kerk Liander (G)","13-02-2019"
"683.5","180","gas","Slimme meter","Kerk Liander (G)","14-02-2019"
"685.98","180","gas","Slimme meter","Kerk Liander (G)","15-02-2019"
"687.9","180","gas","Slimme meter","Kerk Liander (G)","16-02-2019"
"689.24","180","gas","Slimme meter","Kerk Liander (G)","17-02-2019"
"716.08","180","gas","Slimme meter","Kerk Liander (G)","18-02-2019"
"716.08","180","gas","Slimme meter","Kerk Liander (G)","19-02-2019"
"716.08","180","gas","Slimme meter","Kerk Liander (G)","20-02-2019"
"725.07","180","gas","Slimme meter","Kerk Liander (G)","21-02-2019"
"725.07","180","gas","Slimme meter","Kerk Liander (G)","22-02-2019"
"725.76","180","gas","Slimme meter","Kerk Liander (G)","23-02-2019"
"727.42","180","gas","Slimme meter","Kerk Liander (G)","24-02-2019"
"754.51","180","gas","Slimme meter","Kerk Liander (G)","25-02-2019"
"754.51","180","gas","Slimme meter","Kerk Liander (G)","26-02-2019"
"760.86","180","gas","Slimme meter","Kerk Liander (G)","27-02-2019"
"766.33","180","gas","Slimme meter","Kerk Liander (G)","28-02-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","01-03-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","01-03-2019"
"905.063","181","electric","Slimme meter","Kerk Liander (E)","01-03-2019"
"552.075","182","electric","Slimme meter","Kerk Liander (E)","01-03-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","02-03-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","02-03-2019"
"560.329","182","electric","Slimme meter","Kerk Liander (E)","02-03-2019"
"911.466","181","electric","Slimme meter","Kerk Liander (E)","02-03-2019"
"926.098","181","electric","Slimme meter","Kerk Liander (E)","03-03-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","03-03-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","03-03-2019"
"560.329","182","electric","Slimme meter","Kerk Liander (E)","03-03-2019"
"560.329","182","electric","Slimme meter","Kerk Liander (E)","04-03-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","04-03-2019"
"948.951","181","electric","Slimme meter","Kerk Liander (E)","04-03-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","04-03-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","05-03-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","05-03-2019"
"953.782","181","electric","Slimme meter","Kerk Liander (E)","05-03-2019"
"568.376","182","electric","Slimme meter","Kerk Liander (E)","05-03-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","06-03-2019"
"577.461","182","electric","Slimme meter","Kerk Liander (E)","06-03-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","06-03-2019"
"962.101","181","electric","Slimme meter","Kerk Liander (E)","06-03-2019"
"968.779","181","electric","Slimme meter","Kerk Liander (E)","07-03-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","07-03-2019"
"585.554","182","electric","Slimme meter","Kerk Liander (E)","07-03-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","07-03-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","08-03-2019"
"973.875","181","electric","Slimme meter","Kerk Liander (E)","08-03-2019"
"591.779","182","electric","Slimme meter","Kerk Liander (E)","08-03-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","08-03-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","09-03-2019"
"980.66","181","electric","Slimme meter","Kerk Liander (E)","09-03-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","09-03-2019"
"598.665","182","electric","Slimme meter","Kerk Liander (E)","09-03-2019"
"598.665","182","electric","Slimme meter","Kerk Liander (E)","10-03-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","10-03-2019"
"995.376","181","electric","Slimme meter","Kerk Liander (E)","10-03-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","10-03-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","11-03-2019"
"598.665","182","electric","Slimme meter","Kerk Liander (E)","11-03-2019"
"1024.462","181","electric","Slimme meter","Kerk Liander (E)","11-03-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","11-03-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","12-03-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","12-03-2019"
"609.082","182","electric","Slimme meter","Kerk Liander (E)","12-03-2019"
"1033.712","181","electric","Slimme meter","Kerk Liander (E)","12-03-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","13-03-2019"
"1043.946","181","electric","Slimme meter","Kerk Liander (E)","13-03-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","13-03-2019"
"622.145","182","electric","Slimme meter","Kerk Liander (E)","13-03-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","14-03-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","14-03-2019"
"639.092","182","electric","Slimme meter","Kerk Liander (E)","14-03-2019"
"1052.415","181","electric","Slimme meter","Kerk Liander (E)","14-03-2019"
"647.425","182","electric","Slimme meter","Kerk Liander (E)","15-03-2019"
"1059.432","181","electric","Slimme meter","Kerk Liander (E)","15-03-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","15-03-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","15-03-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","16-03-2019"
"1066.113","181","electric","Slimme meter","Kerk Liander (E)","16-03-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","16-03-2019"
"654.553","182","electric","Slimme meter","Kerk Liander (E)","16-03-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","17-03-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","17-03-2019"
"654.553","182","electric","Slimme meter","Kerk Liander (E)","17-03-2019"
"1078.229","181","electric","Slimme meter","Kerk Liander (E)","17-03-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","18-03-2019"
"654.553","182","electric","Slimme meter","Kerk Liander (E)","18-03-2019"
"1096.516","181","electric","Slimme meter","Kerk Liander (E)","18-03-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","18-03-2019"
"661.532","182","electric","Slimme meter","Kerk Liander (E)","19-03-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","19-03-2019"
"1105.09","181","electric","Slimme meter","Kerk Liander (E)","19-03-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","19-03-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","20-03-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","20-03-2019"
"1114.692","181","electric","Slimme meter","Kerk Liander (E)","20-03-2019"
"669.233","182","electric","Slimme meter","Kerk Liander (E)","20-03-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","21-03-2019"
"674.349","182","electric","Slimme meter","Kerk Liander (E)","21-03-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","21-03-2019"
"1120.357","181","electric","Slimme meter","Kerk Liander (E)","21-03-2019"
"681.894","182","electric","Slimme meter","Kerk Liander (E)","22-03-2019"
"1126.222","181","electric","Slimme meter","Kerk Liander (E)","22-03-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","22-03-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","22-03-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","23-03-2019"
"1131.28","181","electric","Slimme meter","Kerk Liander (E)","23-03-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","23-03-2019"
"686.43","182","electric","Slimme meter","Kerk Liander (E)","23-03-2019"
"0","282","electric","Slimme meter","Kerk Liander (E)","24-03-2019"
"1142.966","181","electric","Slimme meter","Kerk Liander (E)","24-03-2019"
"0","281","electric","Slimme meter","Kerk Liander (E)","24-03-2019"
"686.43","182","electric","Slimme meter","Kerk Liander (E)","24-03-2019"
